offset,speed_m_s,value,value_unit
0x810,0.0,5.0,m/s^3
0x810,10.0,5.0,m/s^3
0x810,30.0,5.0,m/s^3
0x5f6,0.0,-1.5,m/s^2
0x5f6,1.5,-1.5,m/s^2
0x5f6,2.5,-2.0,m/s^2
0x5f6,5.5,-5.0,m/s^2
0x5f6,11.6,-4.4,m/s^2
0x5f6,20.5,-4.4,m/s^2
0x5f6,25.0,-3.5,m/s^2
0x5f6,30.0,-3.5,m/s^2
0x6e4,0.0,1000.0,Nm/s
0x6e4,5.0,600.0,Nm/s
0x6e4,30.0,500.0,Nm/s
0x6f0,0.0,200.0,Nm/s
0x6f0,5.0,180.0,Nm/s
0x6f0,30.0,180.0,Nm/s
0x7de,2.0,1.0,multiplier
0x7de,1.0,0.5,multiplier
0x7de,0.0,0.1,multiplier
0x7ea,0.0,4.0,multiplier
0x7ea,1.0,1.5,multiplier
0x7ea,2.0,1.0,multiplier
0x708,0.0,0.25,m/s^2
0x708,5.0,0.2,m/s^2
0x708,30.0,0.2,m/s^2
0x714,0.0,-0.065,m/s^2
0x714,5.0,-0.125,m/s^2
0x714,30.0,-0.2,m/s^2
0x720,0.0,-0.05,m/s^2
0x720,5.0,-0.125,m/s^2
0x720,30.0,-0.2,m/s^2
